DATE_PST,DATE,TIME,STATION_NAME,STATION_NAME_FULL,EMS_ID,NAPS_ID,RAW_VALUE,ROUNDED_VALUE,UNIT,INSTRUMENT,PARAMETER,OWNER,REGION
1/3/2017 9:00,1/3/2017,9:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,1.484339,1.5,ppb,NA,O3,MVRD,02 - Lower Mainland
1/3/2017 10:00,1/3/2017,10:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,8.232114,8.2,ppb,NA,O3,MVRD,02 - Lower Mainland
1/3/2017 11:00,1/3/2017,11:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,12.38479,12.4,ppb,NA,O3,MVRD,02 - Lower Mainland
1/3/2017 12:00,1/3/2017,12:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,18.73944,18.7,ppb,NA,O3,MVRD,02 - Lower Mainland
1/3/2017 13:00,1/3/2017,13:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,23.90011,23.9,ppb,NA,O3,MVRD,02 - Lower Mainland
1/3/2017 14:00,1/3/2017,14:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,25.94025,25.9,ppb,NA,O3,MVRD,02 - Lower Mainland
1/3/2017 15:00,1/3/2017,15:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,22.38033,22.4,ppb,NA,O3,MVRD,02 - Lower Mainland
1/3/2017 16:00,1/3/2017,16:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,12.58789,12.6,ppb,NA,O3,MVRD,02 - Lower Mainland
1/3/2017 17:00,1/3/2017,17:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,4.586496,4.6,ppb,NA,O3,MVRD,02 - Lower Mainland
1/3/2017 18:00,1/3/2017,18:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,2.298078,2.3,ppb,NA,O3,MVRD,02 - Lower Mainland
1/3/2017 19:00,1/3/2017,19:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,1.451419,1.5,ppb,NA,O3,MVRD,02 - Lower Mainland
1/3/2017 20:00,1/3/2017,20:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,0.807574,0.8,ppb,NA,O3,MVRD,02 - Lower Mainland
1/3/2017 21:00,1/3/2017,21:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,0.995181,1,ppb,NA,O3,MVRD,02 - Lower Mainland
1/3/2017 22:00,1/3/2017,22:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,14.34599,14.3,ppb,NA,O3,MVRD,02 - Lower Mainland
1/3/2017 23:00,1/3/2017,23:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,26.53311,26.5,ppb,NA,O3,MVRD,02 - Lower Mainland
1/4/2017 0:00,1/3/2017,24:00:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,21.63314,21.6,ppb,NA,O3,MVRD,02 - Lower Mainland
1/4/2017 1:00,1/4/2017,1:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,19.54344,19.5,ppb,NA,O3,MVRD,02 - Lower Mainland
1/4/2017 2:00,1/4/2017,2:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,14.70037,14.7,ppb,NA,O3,MVRD,02 - Lower Mainland
1/4/2017 3:00,1/4/2017,3:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,6.516997,6.5,ppb,NA,O3,MVRD,02 - Lower Mainland
1/4/2017 4:00,1/4/2017,4:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,,,ppb,NA,O3,MVRD,02 - Lower Mainland
1/4/2017 5:00,1/4/2017,5:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,1.021339,1,ppb,NA,O3,MVRD,02 - Lower Mainland
1/4/2017 6:00,1/4/2017,6:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,0.3401347,0.3,ppb,NA,O3,MVRD,02 - Lower Mainland
1/4/2017 7:00,1/4/2017,7:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,0.3455566,0.3,ppb,NA,O3,MVRD,02 - Lower Mainland
1/4/2017 8:00,1/4/2017,8:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,0.7479089,0.7,ppb,NA,O3,MVRD,02 - Lower Mainland
1/4/2017 9:00,1/4/2017,9:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,1.276261,1.3,ppb,NA,O3,MVRD,02 - Lower Mainland
1/4/2017 10:00,1/4/2017,10:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,1.967968,2,ppb,NA,O3,MVRD,02 - Lower Mainland
1/4/2017 11:00,1/4/2017,11:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,2.946182,2.9,ppb,NA,O3,MVRD,02 - Lower Mainland
1/4/2017 12:00,1/4/2017,12:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,15.20271,15.2,ppb,NA,O3,MVRD,02 - Lower Mainland
1/4/2017 13:00,1/4/2017,13:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,26.80571,26.8,ppb,NA,O3,MVRD,02 - Lower Mainland
1/4/2017 14:00,1/4/2017,14:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,27.95743,28,ppb,NA,O3,MVRD,02 - Lower Mainland
1/4/2017 15:00,1/4/2017,15:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,26.12879,26.1,ppb,NA,O3,MVRD,02 - Lower Mainland
1/4/2017 16:00,1/4/2017,16:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,23.46731,23.5,ppb,NA,O3,MVRD,02 - Lower Mainland
1/4/2017 17:00,1/4/2017,17:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,16.49233,16.5,ppb,NA,O3,MVRD,02 - Lower Mainland
1/4/2017 18:00,1/4/2017,18:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,13.19414,13.2,ppb,NA,O3,MVRD,02 - Lower Mainland
1/4/2017 19:00,1/4/2017,19:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,6.218913,6.2,ppb,NA,O3,MVRD,02 - Lower Mainland
1/4/2017 20:00,1/4/2017,20:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,0.984014,1,ppb,NA,O3,MVRD,02 - Lower Mainland
1/4/2017 21:00,1/4/2017,21:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,1.096085,1.1,ppb,NA,O3,MVRD,02 - Lower Mainland
1/4/2017 22:00,1/4/2017,22:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,1.209975,1.2,ppb,NA,O3,MVRD,02 - Lower Mainland
1/4/2017 23:00,1/4/2017,23:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,1.073069,1.1,ppb,NA,O3,MVRD,02 - Lower Mainland
1/5/2017 0:00,1/4/2017,24:00:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,1.066679,1.1,ppb,NA,O3,MVRD,02 - Lower Mainland
1/5/2017 1:00,1/5/2017,1:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,1.07645,1.1,ppb,NA,O3,MVRD,02 - Lower Mainland
1/5/2017 2:00,1/5/2017,2:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,0.693145,0.7,ppb,NA,O3,MVRD,02 - Lower Mainland
1/5/2017 3:00,1/5/2017,3:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,0.550606,0.6,ppb,NA,O3,MVRD,02 - Lower Mainland
1/5/2017 4:00,1/5/2017,4:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,0.3780192,0.4,ppb,NA,O3,MVRD,02 - Lower Mainland
1/5/2017 5:00,1/5/2017,5:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,0.432345,0.4,ppb,NA,O3,MVRD,02 - Lower Mainland
1/5/2017 6:00,1/5/2017,6:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,0.4844306,0.5,ppb,NA,O3,MVRD,02 - Lower Mainland
1/5/2017 7:00,1/5/2017,7:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,0.475236,0.5,ppb,NA,O3,MVRD,02 - Lower Mainland
1/5/2017 8:00,1/5/2017,8:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,0.547217,0.5,ppb,NA,O3,MVRD,02 - Lower Mainland
1/5/2017 9:00,1/5/2017,9:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,1.133061,1.1,ppb,NA,O3,MVRD,02 - Lower Mainland
1/5/2017 10:00,1/5/2017,10:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,3.280931,3.3,ppb,NA,O3,MVRD,02 - Lower Mainland
1/5/2017 11:00,1/5/2017,11:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,,,ppb,NA,O3,MVRD,02 - Lower Mainland
1/5/2017 12:00,1/5/2017,12:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,8.786108,8.8,ppb,NA,O3,MVRD,02 - Lower Mainland
1/5/2017 13:00,1/5/2017,13:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,13.01035,13,ppb,NA,O3,MVRD,02 - Lower Mainland
1/5/2017 14:00,1/5/2017,14:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,15.41911,15.4,ppb,NA,O3,MVRD,02 - Lower Mainland
1/5/2017 15:00,1/5/2017,15:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,11.42002,11.4,ppb,NA,O3,MVRD,02 - Lower Mainland
1/5/2017 16:00,1/5/2017,16:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,15.82446,15.8,ppb,NA,O3,MVRD,02 - Lower Mainland
1/5/2017 17:00,1/5/2017,17:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,8.990379,9,ppb,NA,O3,MVRD,02 - Lower Mainland
1/5/2017 18:00,1/5/2017,18:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,0.678086,0.7,ppb,NA,O3,MVRD,02 - Lower Mainland
1/5/2017 19:00,1/5/2017,19:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,0.81683,0.8,ppb,NA,O3,MVRD,02 - Lower Mainland
1/5/2017 20:00,1/5/2017,20:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,0.778495,0.8,ppb,NA,O3,MVRD,02 - Lower Mainland
1/5/2017 21:00,1/5/2017,21:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,0.6811531,0.7,ppb,NA,O3,MVRD,02 - Lower Mainland
1/5/2017 22:00,1/5/2017,22:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,1.053266,1.1,ppb,NA,O3,MVRD,02 - Lower Mainland
1/5/2017 23:00,1/5/2017,23:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,1.452723,1.5,ppb,NA,O3,MVRD,02 - Lower Mainland
1/6/2017 0:00,1/5/2017,24:00:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,5.820681,5.8,ppb,NA,O3,MVRD,02 - Lower Mainland
1/6/2017 1:00,1/6/2017,1:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,8.38514,8.4,ppb,NA,O3,MVRD,02 - Lower Mainland
1/6/2017 2:00,1/6/2017,2:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,11.82254,11.8,ppb,NA,O3,MVRD,02 - Lower Mainland
1/6/2017 3:00,1/6/2017,3:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,11.12042,11.1,ppb,NA,O3,MVRD,02 - Lower Mainland
1/6/2017 4:00,1/6/2017,4:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,,,ppb,NA,O3,MVRD,02 - Lower Mainland
1/6/2017 5:00,1/6/2017,5:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,10.72654,10.7,ppb,NA,O3,MVRD,02 - Lower Mainland
1/6/2017 6:00,1/6/2017,6:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,9.68545,9.7,ppb,NA,O3,MVRD,02 - Lower Mainland
1/6/2017 7:00,1/6/2017,7:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,11.54015,11.5,ppb,NA,O3,MVRD,02 - Lower Mainland
1/6/2017 8:00,1/6/2017,8:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,9.85657,9.9,ppb,NA,O3,MVRD,02 - Lower Mainland
1/6/2017 9:00,1/6/2017,9:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,9.35196,9.4,ppb,NA,O3,MVRD,02 - Lower Mainland
1/6/2017 10:00,1/6/2017,10:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,11.6748,11.7,ppb,NA,O3,MVRD,02 - Lower Mainland
1/6/2017 11:00,1/6/2017,11:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,13.736,13.7,ppb,NA,O3,MVRD,02 - Lower Mainland
1/6/2017 12:00,1/6/2017,12:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,11.50389,11.5,ppb,NA,O3,MVRD,02 - Lower Mainland
1/6/2017 13:00,1/6/2017,13:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,15.71629,15.7,ppb,NA,O3,MVRD,02 - Lower Mainland
1/6/2017 14:00,1/6/2017,14:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,18.31574,18.3,ppb,NA,O3,MVRD,02 - Lower Mainland
1/6/2017 15:00,1/6/2017,15:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,16.00267,16,ppb,NA,O3,MVRD,02 - Lower Mainland
1/6/2017 16:00,1/6/2017,16:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,12.04659,12,ppb,NA,O3,MVRD,02 - Lower Mainland
1/6/2017 17:00,1/6/2017,17:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,10.25093,10.3,ppb,NA,O3,MVRD,02 - Lower Mainland
